movie_id,Name of movie,Year of release,Rating,Votes,Genre
0,Sherlock Jr.,1924,8.2,43871,"Action,Comedy,Romance"
1,Hotarubi no mori e,2011,7.9,14884,"Animation,Drama,Fantasy"
2,Koto no ha no niwa,2013,7.5,37219,"Animation,Drama,Romance"
3,Blood: The Last Vampire,2000,6.7,12102,"Animation,Action,Horror"
4,Host,2020,6.5,20885,"Horror,Mystery"
5,L'âge d'or,1930,7.3,13080,"Comedy,Drama"
6,Karakomik Filmler: 2 Arada,2019,6.4,10906,"Comedy,Drama"
7,Fear and Desire,1953,5.5,10609,"Drama,Thriller,War"
8,It's Such a Beautiful Day,2012,8.3,11800,"Animation,Comedy,Drama"
9,The Most Dangerous Game,1932,7.1,11043,"Action,Adventure,Horror"
10,Byôsoku 5 senchimêtoru,2007,7.6,52985,"Animation,Drama,Family"
11,Winnie the Pooh,2011,7.2,22617,"Animation,Adventure,Comedy"
12,Freaks,1932,7.9,42819,"Drama,Horror"
13,Dumbo,1941,7.2,122094,"Animation,Adventure,Drama"
14,Our Hospitality,1923,7.8,10454,"Comedy,Romance,Thriller"
15,Ma vie de Courgette,2016,7.8,22699,"Animation,Comedy,Drama"
16,The General,1926,8.1,83033,"Action,Adventure,Comedy"
17,Killer's Kiss,1955,6.6,22022,"Crime,Drama,Film-Noir"
18,Tetsuo,1989,7.0,20359,"Fantasy,Horror,Sci-Fi"
19,The Kid,1921,8.3,116805,"Comedy,Drama,Family"
20,Horse Feathers,1932,7.6,12040,"Comedy,Musical,Romance"
21,Detour,1945,7.4,15844,"Crime,Drama,Film-Noir"
22,The Adventures of Ichabod and Mr. Toad,1949,7.0,13797,"Animation,Comedy,Family"
23,Astérix le Gaulois,1967,6.6,10065,"Animation,Action,Adventure"
24,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,7.8,13988,"Animation,Action,Adventure"
25,Duck Soup,1933,7.8,56298,"Comedy,Musical,War"
26,I Walked with a Zombie,1943,7.1,11381,"Drama,Fantasy,Horror"
27,The Land Before Time,1988,7.4,81879,"Animation,Adventure,Drama"
28,Following,1998,7.5,88629,"Crime,Mystery,Thriller"
29,"Steamboat Bill, Jr.",1928,7.9,13584,"Action,Comedy,Drama"
30,Frankenstein,1931,7.8,66626,"Drama,Horror,Sci-Fi"
31,The Wolf Man,1941,7.3,24522,"Horror,Mystery,Romance"
32,Bambi,1942,7.3,133772,"Animation,Drama,Family"
33,Manos: The Hands of Fate,1966,1.8,34997,"Drama,Horror"
34,Une vie de chat,2010,6.9,10777,"Animation,Adventure,Comedy"
35,The Invisible Man,1933,7.7,31490,"Horror,Sci-Fi"
36,The Three Caballeros,1944,6.4,12902,"Animation,Comedy,Family"
37,9 Songs,2004,4.8,21722,"Drama,Music,Romance"
38,The Secret of Kells,2009,7.6,33011,"Animation,Adventure,Family"
39,The Party,2017,6.6,17544,"Comedy,Drama"
40,The Circus,1928,8.1,31059,"Comedy,Romance"
41,Animal Farm,1954,7.2,15940,"Animation,Drama"
42,The Little Shop of Horrors,1960,6.3,16725,"Comedy,Horror"
43,Astérix et Cléopâtre,1968,7.2,12203,"Animation,Adventure,Comedy"
